"Page.Name";"disclaimer";"spend";"Number.of.Ads.in.Library";"Specific_Party_uncleaned";"Specific_Party";"Broad_Sector_uncleaned";"Broad_Sector";"Support_Type_uncleaned";"Support_Type";"FEC_registered";"CMT_ID";"CMTE_ST";"CMTE_DSGN";"CMTE_PTY_AFFILIATION";"ORG_TP";"CONNECTED_ORG_NM";"CAND_ID";"CMTE_TP"
"Sunshine State Republicans";"REPUBLICAN NATIONAL COMMITTEE";137597;868;"REPUBLICAN";"REPUBLICAN";"Party Committee";"Party";"Political_party_committees";"party committee";"YES";"C00003418";"DC";"U";"REP";"";"COLORADO TRUMP VICTORY";"";"Y"
"Vote Utah";"STATE OF UTAH - OFFICE OF THE LIEUTENANT GOVERNOR";137593;52;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"state";"government";"NO";"";"";"";"";"";"";"";""
"Old Glory Flagpole Kits";"SERVICE FIRST FLAG POLES";136974;45;"NON-PARTISAN";"NONPARTISAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Global Citizen";"GLOBAL POVERTY PROJECT, INC.";136333;224;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"";"";"";"";"";"";""
"Joe Kennedy III";"KENNEDY FOR MASSACHUSETTS";136170;171;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00512970";"MA";"P";"DEM";"";"";"S0MA00208";"S"
"Progress Michigan Political Action Fund";"PROGRESS MICHIGAN POLITICAL ACTION COMMITTEE";136016;116;"DEMOCRATIC";"DEMOCRATIC";"education";"civil rights";"Political_Action_Commitees";"pac";"NO";"";"";"";"";"";"";"";""
"Kate For Congress";"KATE FOR CONGRESS";135961;286;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00711630";"OH";"P";"DEM";"";"OHIO RED TO BLUE 2020";"H0OH01099";"H"
"Family Friendly Michigan";"FAMILY FRIENDLY ACTION PAC";135712;57;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"Party Committee";"party committee";"YES";"C00744920";"DC";"U";"";"";"NONE";"";"O"
"Susie Lee";"SUSIE LEE FOR CONGRESS";135618;1151;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00655613";"NV";"P";"DEM";"";"MAINTAINING A MAJORITY";"H6NV04020";"H"
"AAPI Vote 2020";"DCCC";135461;228;"DEMOCRATIC";"DEMOCRATIC";"Party Committee";"Party";"Party Committee";"party committee";"YES";"C00000935";"DC";"U";"DEM";"";"";"";"Y"
"Florida Conservation Voters";"FLORIDA CONSERVATION VOTERS ACTION FUND";135272;22;"DEMOCRATIC";"DEMOCRATIC";"region";"region";"501(c)4";"50x";"NO";"";"";"";"";"";"";"";""
"Dr. Hiral Tipirneni";"HIRAL FOR CONGRESS";135208;876;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00649897";"AZ";"P";"DEM";"";"HIRAL VICTORY FUND";"H8AZ08083";"H"
"Giffords";"GIFFORDS PAC";134685;60;"DEMOCRATIC";"DEMOCRATIC";"Ideology/Single Issue";"Ideology/Single Issue";"Party Committee";"party committee";"YES";"C00540443";"DC";"U";"";"";"NONE";"";"W"
"Bird + Stone";"BIRD & STONE INC";134236;796;"DEMOCRATIC";"DEMOCRATIC";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Dick Durbin";"FRIENDS OF DICK DURBIN COMMITTEE";134016;46;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00148999";"IL";"P";"DEM";"";"DURBIN VICTORY FUND";"S6IL00151";"S"
"The Way I See It";"FOCUS FEATURES";133933;542;"DEMOCRATIC";"DEMOCRATIC";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"NEON";"NEON RATED, LLC";133312;135;"REPUBLICAN";"REPUBLICAN";"communications";"communications";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"TrumpersUnite";"RESPECT THE LOOK";133285;2230;"REPUBLICAN";"REPUBLICAN";"merchandize";"merchandize";"Corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Tom Malinowski for Congress";"TOM MALINOWSKI FOR CONGRESS";133084;301;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00656686";"NJ";"P";"DEM";"";"";"H8NJ07223";"H"
"Health Care Voter";"HEALTH CARE VOTER";132955;115;"NON-PARTISAN";"NONPARTISAN";"Healthcare";"Ideology/Single Issue";"501(c)(4)";"50x";"YES";"C30003099";"DC";"U";"";"";"";"";"E"
"Jeff Merkley";"JEFF MERKLEY FOR OREGON";132784;2404;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00437277";"OR";"P";"DEM";"";"PROGRESS FOR OREGON";"S8OR00207";"S"
"Yes on EE";"A BRIGHTER HEALTHIER FUTURE FOR COLORADO'S KIDS";132493;421;"NON-PARTISAN";"NONPARTISAN";"education";"law";"?";"other";"NO";"";"";"";"";"";"";"";""
"Network Lobby";"THE NETWORK";131969;486;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"?";"other";"YES";"C90019605";"DC";"U";"";"";"";"";"I"
"US Concealed";"US CONCEALED";131361;819;"?";"NONPARTISAN";"?";"other";"?";"other";"NO";"";"";"";"";"";"";"";""
"Brian Mast";"MAST FOR CONGRESS";131344;93;"REPUBLICAN";"REPUBLICAN";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00632257";"FL";"P";"REP";"";"MAST VICTORY COMMITTEE";"H6FL18097";"H"
"Black to the Future Action Fund";"BLACK TO THE FUTURE ACTION FUND";131190;574;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"501(c)4";"50x";"NO";"";"";"";"";"";"";"";""
"March For Our Lives";"MARCH FOR OUR LIVES";131186;440;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Comedy Central";"COMEDY CENTRAL";131145;135;"DEMOCRATIC";"DEMOCRATIC";"communications";"communications";"corporation_and_Labor_special_funds";"corporation/labor";"NO";"";"";"";"";"";"";"";""
"Smart & Safe Arizona";"SMART AND SAFE ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE.";131010;129;"NON-PARTISAN";"NONPARTISAN";"marijuana";"Ideology/Single Issue";"?";"other";"NO";"";"";"";"";"";"";"";""
"Tom Kilbride for Supreme Court Judge";"KILBRIDE FOR SUPREME COURT JUDGE";130514;8;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"NO";"";"";"";"";"";"";"";""
"Illinois State Board of Elections";"ILLINOIS STATE BOARD OF ELECTIONS WITH FACEBOOK AD CREDITS";129999;8;"NON-PARTISAN";"NONPARTISAN";"civil service";"civil service";"state";"government";"NO";"";"";"";"";"";"";"";""
"Defend American Democracy";"DEFEND AMERICAN DEMOCRACY";129389;22;"DEMOCRATIC";"DEMOCRATIC";"ideology";"Ideology/Single Issue";"501(c)(4)";"50x";"NO";"";"";"";"";"";"";"";""
"Louisiana for Personal Freedoms";"LOUISIANA FOR PERSONAL FREEDOMS";129321;114;"NON-PARTISAN";"NONPARTISAN";"pro choice";"civil rights";"?";"other";"NO";"";"";"";"";"";"";"";""
"FAIR";"FEDERATION FOR AMERICAN IMMIGRATION REFORM";129302;29;"REPUBLICAN";"REPUBLICAN";"civil rights";"civil rights";"501(c)(3)";"50x";"NO";"";"-";"-";"-";"-";"-";"-";"-"
"Listos California";"LISTOS CALIFORNIA";129252;129;"NON-PARTISAN";"NONPARTISAN";"civil rights";"civil rights";"?";"other";"NO";"";"";"";"";"";"";"";""
"Nancy Goroff for Congress";"GOROFF FOR CONGRESS";129140;202;"DEMOCRATIC";"DEMOCRATIC";"Candidate Committee";"Candidate";"Authorized_campaign_committees";"campaign committee";"YES";"C00711564";"NY";"P";"DEM";"";"";"H0NY01186";"H"
